level1,weight1,level2,weight2,level3,weight3,level4,weight4,level5,weight5,level6,weight6,level7,weight7,level8,weight8,level9,weight9,level10,level11,weight11,level12,weight12,level13,weight13,level14,weight14,level15,weight15,level16,weight16,level17,weight17,level18,weight18,level19,weight19,level20
D.0C.33C-B_0020, 41, N.1.0251_1903200033
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0N.30A_0465, 500, B.0D.A8A_B0DA8A0030
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0N.30A_0465, 500, B.4X.004_1902140003
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0N.30A_0465, 20, E.1.0657_1901240055
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0N.30A_0465, 500, B.0D.A0A_B0DA0A0030
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0N.30A_0465, 500, B.0D.BQA_1903150019
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 23, E.1.0679_1712050002
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 500, E.1.0005_1806250039
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 230, B.0D.93A_B0D93A0040
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 230, B.0E.7JA_0100, 286, B.0D.BHA_B0DBHA0023
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 231, B.0D.75A_B0D75A0089
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 231, B.0H.6FA_0602, 468, E.2.0309_1902250004
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 231, B.0H.6FA_0602, 234, B.0D.ALA_B0DALA0093
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0A.33D_0218, 20, E.1.0680_1801020054
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 400, B.0P.00B_0436, 40000, M.7.D009_1901310059
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 400, B.0P.00B_0436, 8480, M.7.D011_1901150028
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 400, B.0P.00B_0436, 160, M.7.D004_1901310060
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 2, T.K.0065_1809260048
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 257, B.0P.04B_0218, 29700, M.7.0026_1901310058
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 257, B.0P.04B_0218, 610, M.7.0101_1901150031
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 257, B.0P.04B_0218, 1766, M.7.0101_1902210035
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 257, B.0P.04B_0218, 1782, M.7.D004_1901310060
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 46, B.0B.0JC_1570, 257, B.0P.04B_0218, 4752, M.7.D005_1903060023
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 3, B.0P.01C_1209, 450, E.3.0002_1608010016
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 3, B.0P.01C_1209, 12, B.0P.00C_1427, 360, E.5.1395_1904120022
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 3, B.0P.01C_1209, 12, B.0P.00C_1427, 12, B.0P.02C_0084, 750, T.K.0120_1812100044
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0C.18C_1084, 3, B.0P.01C_1209, 12, B.0P.00C_1427, 12, B.0P.02C_0084, 750, T.K.0120_1901150032
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, N.0.0155_1902200051
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, B.0D.B5A_1904110003
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, N.1.0331_1903080028
D.0C.33C-B_0020, 41, C.0C.33C_0404, 42, N.1.0006_1902220056
D.0C.33C-B_0020, 128, N.2.0238_1904040038
D.0C.33C-B_0020, 41, N.1.0268_1903270059
